bare,translations_en
делегация,delegation
чудак,crank
доза,dose
эксперт,expert
сантиметр,centimetre
трибуна,platform
ветерок,breeze
конструктор,designer
скатерть,table-cloth
обувь,footwear
телега,cart
вал,billow
почка,bud
око,eye
ёлка,Christmas tree
паровоз,engine
змей,serpent
па,pas
мелодия,melody
расстройство,disorder
прозвище,nickname
номенклатура,nomenclature
барьер,barrier
премьер,prime minister
плакат,placard
тоня,fishery
санитар,hospital attendant
орех,nut
обочина,side of the road
расстрел,shooting
огурец,cucumber
усмешка,smile
валюта,currency
веранда,verandah
обломок,fragment
курица,hen
пена,foam
предатель,traitor
факультет,faculty
тропа,path
паника,panic
торговец,merchant
шарик,small ball
предчувствие,presentiment
копьё,spear
перестройка,rebuilding
введение,introduction
дипломат,diplomat
перец,pepper
гроза,storm
возбуждение,excitation
отставка,dismissal
случайность,chance
практик,practical worker
выезд,departure
сало,fat
малость,trifle
инстинкт,instinct
катер,cutter
прогноз,prognosis
виски,whisky
сектор,sector
мёд,honey
размах,swing
неправда,untruth
пяток,five
посещение,visit
агентство,agency
слушатель,hearer
кодекс,code
коса,plait
собор,cathedral
толь,tar paper
восстановление,restoration
чудовище,monster
прилавок,counter
песенка,song
топливо,fuel
глина,clay
объятие,embrace
пазуха,bosom
эшелон,echelon
сохранение,preservation
листва,leaves
раздел,division
усадьба,farmstead
пропуск,admission
мораль,moral
человечек,little man
сустав,joint
нежность,tenderness
комсомолец,member of the Komsomol
осложнение,complication
митинг,meeting
дрожь,tremble
местечко,borough
кредит,credit
весть,news
бабочка,butterfly
ущелье,gorge
ветеран,veteran
шахта,mine
ноздря,nostril
видимость,visibility
светило,luminary
единица,unit
пятница,Friday
сложность,complication
вдова,widow
берёза,birch
позор,shame
фонтан,fountain
бес,demon
пепел,ashes
призрак,spectre
восхищение,admiration
возникновение,origin
стража,guard
алкоголь,alcohol
ранг,class
злато,gold
союзник,ally
живопись,painting
парламент,parliament
семейство,family
негр,Negro
почерк,handwriting
коллекция,collection
молитва,prayer
ритм,rhythm
стая,flock
блин,pancake
Азия,Asia
подружка,girl-friend
